Station Name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2122 Entries and exits,NLC,TLC,Region
Woolwich Arsenal,"830,560","1,355,208","618,772","2,804,540",5152,WWA,London
Woolwich Dockyard,"111,386","168,786","95,704","375,876",5153,WWD,London
Wootton Wawen,"2,970","5,014","2,550","10,534",4540,WWW,West Midlands
Worcester Foregate Street,"435,780","581,870","340,572","1,358,222",4893,WOF,West Midlands
Worcester Park,"346,696","454,602","178,606","979,904",5579,WCP,London
Worcester Shrub Hill,"131,398","175,450","102,692","409,540",4891,WOS,West Midlands
Workington,"53,758","113,524","17,156","184,438",2040,WKG,North West
Worksop,"115,786","217,854","31,644","365,284",6574,WRK,East Midlands
Worle,"85,332","126,952","20,056","232,340",3390,WOR,South West
Worplesdon,"42,398","37,516","20,778","100,692",5686,WPL,South East
Worstead,"9,048","7,158","6,064","22,270",7326,WRT,East of England
Worthing,"353,666","990,012","295,400","1,639,078",5279,WRH,South East
Wrabness,"4,182","6,742","6,356","17,280",6907,WRB,East of England
Wraysbury,"20,588","24,036","6,378","51,002",5673,WRY,South East
Wrenbury,"4,436","1,346",0,"5,782",1350,WRE,North West
Wressle,202,268,32,502,8123,WRS,Yorkshire and The Humber
Wrexham Central,"10,118","2,282",794,"13,194",4486,WXC,Wales
Wrexham General,"222,110","161,892","16,340","400,342",4487,WRX,Wales
Wye,"44,614","61,890","62,150","168,654",5031,WYE,South East
Wylam,"20,002","46,382","9,282","75,666",7514,WYM,North East
Wylde Green,"87,364","137,696","77,116","302,176",1138,WYL,West Midlands
Wymondham,"43,532","92,068","14,866","150,466",7383,WMD,East of England
Wythall,"13,558","22,596","10,194","46,348",4532,WYT,West Midlands
Yalding,"7,716","12,858","9,394","29,968",5232,YAL,South East
Yardley Wood,"72,968","115,656","66,136","254,760",4537,YRD,West Midlands
Yarm,"23,754","71,478","7,668","102,900",7917,YRM,North East
Yate,"67,938","90,352","18,832","177,122",3380,YAE,South West
Yatton,"89,750","161,728","81,258","332,736",3392,YAT,South West
Yeoford,"9,410","5,104","1,928","16,442",5827,YEO,South West
Yeovil Junction,"12,560","112,506","5,810","130,876",5838,YVJ,South West
Yeovil Pen Mill,"30,272","88,530","1,940","120,742",5856,YVP,South West
Yetminster,"1,678","3,624",0,"5,302",5857,YET,South West
Ynyswen,"8,020",234,"2,644","10,898",3818,YNW,Wales
Yoker,"34,778","62,250","11,796","108,824",9990,YOK,Scotland
York,"490,014","7,215,424","386,108","8,091,546",8263,YRK,Yorkshire and The Humber
Yorton,"5,038",568,888,"6,494",1351,YRT,West Midlands
Ystrad Mynach,"104,160","4,732","27,194","136,086",4026,YSM,Wales
Ystrad Rhondda,"27,300","1,276","5,520","34,096",3871,YSR,Wales
