Station Name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2122 Entries and exits,NLC,TLC,Region
Westenhanger,"9,296","16,654","19,142","45,092",5030,WHA,South East
Wester Hailes,"27,754","11,526","1,168","40,448",9231,WTA,Scotland
Westerfield,"5,780","6,072","1,136","12,988",7226,WFI,East of England
Westerton,"95,462","237,718","49,008","382,188",9998,WES,Scotland
Westgate-On-Sea,"27,098","45,616","32,782","105,496",5195,WGA,South East
Westhoughton,"64,226","64,582","36,040","164,848",2619,WHG,North West
Weston Milton,"30,138","32,220","4,606","66,964",3388,WNM,South West
Weston-Super-Mare,"179,522","530,582","67,806","777,910",3391,WSM,South West
Wetheral,"7,760","20,464","3,124","31,348",7572,WRL,North West
Weybridge,"540,448","471,272","222,176","1,233,896",5577,WYB,South East
Weymouth,"75,048","455,556","13,268","543,872",5965,WEY,South West
Whaley Bridge,"28,660","53,160","14,270","96,090",2772,WBR,East Midlands
Whatstandwell,"6,584","14,336",344,"21,264",1585,WTS,East Midlands
Whifflet,"39,932","68,942","14,842","123,716",9753,WFF,Scotland
Whimple,"8,250","22,766","5,458","36,474",5759,WHM,South West
Whinhill,"6,468","12,852","2,972","22,292",9665,WNL,Scotland
Whiston,"52,654","73,794","38,474","164,922",2161,WHN,North West
Whitby,"19,446","72,552","27,640","119,638",8184,WTB,Yorkshire and The Humber
Whitchurch (Hampshire),"25,372","68,068","30,894","124,334",5527,WCH,South East
White Hart Lane,"443,994","922,212","219,456","1,585,662",6956,WHL,London
White Notley,"3,182","3,204","1,022","7,408",6846,WNY,East of England
Whitecraigs,"46,648","96,642","9,076","152,366",9777,WCR,Scotland
Whitehaven,"57,262","146,782","17,186","221,230",2048,WTH,North West
Whitland,"19,582","6,586","3,530","29,698",4111,WTL,Wales
Whitley Bridge,414,28,20,462,8130,WBD,Yorkshire and The Humber
Whitstable,"100,308","378,516","156,036","634,860",5196,WHI,South East
Whittlesea,"14,720","7,590","4,126","26,436",7187,WLE,East of England
Whyteleafe,"74,124","101,616","25,958","201,698",5396,WHY,South East
Whyteleafe South,"33,036","37,346","14,770","85,152",5439,WHS,South East
Wick,"7,794","5,166",20,"12,980",8680,WCK,Scotland
Wickford,"417,894","369,742","389,890","1,177,526",6891,WIC,East of England
Wickham Market,"13,240","31,746","2,584","47,570",7227,WCM,East of England
Widdrington,"1,794",106,138,"2,038",7695,WDD,North East
Widnes,"135,014","205,814","17,974","358,802",2391,WID,North West
Widney Manor,"49,572","71,230","56,098","176,900",4528,WMR,West Midlands
Wigan North Western,"276,958","743,368","147,878","1,168,204",2363,WGN,North West
Wigan Wallgate,"255,256","685,116","136,290","1,076,662",2406,WGW,North West
Wigton,"17,846","39,470","7,504","64,820",2098,WGT,North West
Wildmill,"9,662","3,612","1,984","15,258",3965,WMI,Wales
Willesden Junction,"1,657,752","2,824,440","875,346","5,357,538",1457,WIJ,London
Williamwood,"30,018","68,542","10,846","109,406",9781,WLM,Scotland
Willington,"22,284","12,442",816,"35,542",1905,WIL,East Midlands
Wilmcote,"4,550","9,622",524,"14,696",4568,WMC,West Midlands
Wilmslow,"267,354","459,804","111,084","838,242",2774,WML,North West
Wimbledon,"3,021,336","4,988,656","1,942,042","9,952,034",5578,WIM,London
Wimbledon Chase,"75,344","74,766","41,596","191,706",5612,WBO,London
Winchelsea,"1,252","6,928","1,142","9,322",5042,WSE,South East
Winchester,"650,720","1,713,682","595,342","2,959,744",5924,WIN,South East
Winchfield,"43,448","66,666","53,840","163,954",5528,WNF,South East
Winchmore Hill,"332,330","419,852","100,300","852,482",6024,WIH,London
Windermere,"20,924","266,992","21,708","309,624",1978,WDM,North West
Winnersh,"67,246","109,202","85,472","261,920",5697,WNS,South East
Winnersh Triangle,"48,020","52,734","20,074","120,828",5698,WTI,South East
Winsford,"51,182","107,698","6,738","165,618",2269,WSF,North West
Wishaw,"74,908","117,882","30,846","223,636",9694,WSH,Scotland
Witham,"339,908","414,898","522,348","1,277,154",6844,WTM,East of England
Witley,"64,180","48,640","33,330","146,150",5640,WTY,South East
Wivelsfield,"88,118","171,434","79,436","338,988",5341,WVF,South East
Wivenhoe,"33,108","124,458","59,212","216,778",6860,WIV,East of England
Woburn Sands,"3,814","6,628","9,276","19,718",1539,WOB,South East
Woking,"1,552,818","1,854,810","662,672","4,070,300",5685,WOK,South East
Wokingham,"369,830","668,404","242,776","1,281,010",5696,WKM,South East
Woldingham,"66,150","63,860","92,950","222,960",5440,WOH,South East
Wolverhampton,"843,230","2,154,298","455,792","3,453,320",1218,WVH,West Midlands
Wolverton,"53,948","91,084","64,782","209,814",1364,WOL,South East
Wombwell,"79,018","47,860","33,304","160,182",6688,WOM,Yorkshire and The Humber
Wood End,"2,718","2,960","3,748","9,426",4536,WDE,West Midlands
Wood Street,"416,348","732,602","119,416","1,268,366",6954,WST,London
Woodbridge,"28,734","130,006","9,954","168,694",7228,WDB,East of England
Woodgrange Park,"203,784","321,890","205,868","731,542",7467,WGR,London
Woodhall,"10,098","15,024","2,804","27,926",9639,WDL,Scotland
Woodhouse,"10,446","8,126","2,034","20,606",6732,WDH,Yorkshire and The Humber
Woodlesford,"90,526","54,428","20,202","165,156",8578,WDS,Yorkshire and The Humber
Woodley,"18,698","13,364","8,830","40,892",2835,WLY,North West
Woodmansterne,"31,870","43,908","13,012","88,790",5441,WME,London
Woodsmoor,"64,946","58,884","45,432","169,262",2773,WSR,North West
Wool,"31,174","89,122","6,946","127,242",5960,WOO,South West
Woolston,"30,376","38,148","23,298","91,822",5925,WLS,South East
