NLC,TLC,Station Name,Region,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,1819 Entries and exits
6688,WOM,Wombwell,Yorkshire And The Humber,93036,54696,55710,203442
4536,WDE,Wood End,West Midlands,4020,4554,5092,13666
6954,WST,Wood Street,London,517394,740476,391636,1649506
7228,WDB,Woodbridge,East,48584,134844,27012,210440
7467,WGR,Woodgrange Park,London,165970,271406,327230,764606
9639,WDL,Woodhall,Scotland,14516,19464,11278,45258
6732,WDH,Woodhouse,Yorkshire And The Humber,13904,8466,11026,33396
8578,WDS,Woodlesford,Yorkshire And The Humber,149702,64524,114310,328536
2835,WLY,Woodley,North West,34462,23034,21356,78852
5441,WME,Woodmansterne,London,81418,83082,117010,281510
2773,WSR,Woodsmoor,North West,82730,86560,141318,310608
5960,WOO,Wool,South West,44028,111934,16652,172614
5925,WLS,Woolston,South East,53668,42586,52190,148444
5152,WWA,Woolwich Arsenal,London,1093480,1553932,1723662,4371074
5153,WWD,Woolwich Dockyard,London,104478,151234,238490,494202
4540,WWW,Wootton Wawen,West Midlands,3532,5160,6236,14928
4893,WOF,Worcester Foregate Street,West Midlands,605472,715724,750272,2071468
5579,WCP,Worcester Park,London,666780,720022,972202,2359004
4891,WOS,Worcester Shrub Hill,West Midlands,235772,278706,292158,806636
2040,WKG,Workington,North West,54506,103214,36928,194648
6574,WRK,Worksop,East Midlands,155682,214724,69984,440390
3390,WOR,Worle,South West,123186,149064,46798,319048
5686,WPL,Worplesdon,South East,49876,24410,135894,210180
7326,WRT,Worstead,East,9074,9454,7122,25650
5279,WRH,Worthing,South East,455904,1236834,702760,2395498
6907,WRB,Wrabness,East,4280,7612,18456,30348
5673,WRY,Wraysbury,South East,36252,33670,35858,105780
1350,WRE,Wrenbury,North West,8948,2956,960,12864
8123,WRS,Wressle,Yorkshire And The Humber,152,192,376,720
4486,WXC,Wrexham Central,Wales - Cymru,60182,16622,3668,80472
4487,WRX,Wrexham General,Wales - Cymru,271556,201058,39584,512198
5031,WYE,Wye,South East,50990,88844,115976,255810
7514,WYM,Wylam,North East,20172,58516,18954,97642
1138,WYL,Wylde Green,West Midlands,130748,213742,333062,677552
7383,WMD,Wymondham,East,53446,106744,40142,200332
4532,WYT,Wythall,West Midlands,17896,25026,25724,68646
5232,YAL,Yalding,South East,8814,13140,13804,35758
4537,YRD,Yardley Wood,West Midlands,133158,157102,221732,511992
7917,YRM,Yarm,North East,33268,86568,19968,139804
3380,YAE,Yate,South West,132004,128128,81862,341994
3392,YAT,Yatton,South West,152812,178272,136502,467586
