NLC,TLC,Station Name,Region,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,1819 Entries and exits
3145,AMT,Aldermaston,South East,17154,28626,28162,73942
5623,AHT,Aldershot,South East,407388,532524,427340,1367252
5280,AGT,Aldrington,South East,53408,89028,64532,206968
6025,AAP,Alexandra Palace,London,533996,770112,539540,1843648
9905,AXP,Alexandra Parade,Scotland,80548,224636,113584,418768
9861,ALX,Alexandria,Scotland,57328,125312,61738,244378
1805,ALF,Alfreton,East Midlands,123200,155966,35298,314464
9883,ALO,Alloa,Scotland,98326,200938,71188,370452
8605,ASS,Alness,Scotland,23684,4882,1860,30426
7787,ALM,Alnmouth,North East,67702,249346,27554,344602
1223,ASG,Alsager,North West,66630,29368,20448,116446
6532,ALP,Althorpe,Yorkshire And The Humber,2796,4214,968,7978
8606,ABC,Altnabreac,Scotland,328,80,,408
5544,AON,Alton,South East,170236,247978,293078,711292
2806,ALT,Altrincham,North West,121100,142248,133484,396832
1198,ALV,Alvechurch,West Midlands,76134,35748,87980,199862
1678,AMB,Ambergate,East Midlands,18114,19160,3856,41130
5250,AMY,Amberley,South East,12562,30552,17182,60296
506,AMR,Amersham,South East,881342,943044,167394,1991780
4236,AMF,Ammanford,Wales - Cymru,12382,6638,576,19596
6358,ANC,Ancaster,East Midlands,3308,994,1602,5904
9965,AND,Anderston,Scotland,149610,176118,402680,728408
5510,ADV,Andover,South East,244344,545804,442188,1232336
5397,ANZ,Anerley,London,306408,439952,296986,1043346
5267,ANG,Angmering,South East,151042,401836,273744,826622
9451,ANN,Annan,Scotland,9280,127838,2252,139370
9972,ANL,Anniesland,Scotland,244658,590708,300712,1136078
2052,APP,Appleby,North West,11006,43014,3506,57526
3109,APF,Appleford,South East,2000,3160,2344,7504
2396,APB,Appley Bridge,North West,49698,111440,63200,224338
1430,APS,Apsley,East,203608,186802,276782,667192
9079,ARB,Arbroath,Scotland,126470,181142,62294,369906
8613,ARD,Ardgay,Scotland,5392,1050,556,6998
9962,AUI,Ardlui,Scotland,2896,2726,,5622
9453,ADS,Ardrossan Harbour,Scotland,67650,62468,1256,131374
9569,ASB,Ardrossan South Beach,Scotland,47366,112946,60326,220638
9455,ADN,Ardrossan Town,Scotland,5432,11866,5050,22348
2960,ADK,Ardwick,North West,1016,182,40,1238
9961,AGS,Argyle Street,Scotland,239100,748166,308110,1295376
8821,ARG,Arisaig,Scotland,3384,2842,,6226
6171,ARL,Arlesey,East,169452,215438,277786,662676
2054,AWT,Armathwaite,North West,1366,6250,,7616
1963,ARN,Arnside,North West,15636,74576,6136,96348
8045,ARR,Arram,Yorkshire And The Humber,398,770,224,1392
5251,ARU,Arundel,South East,46512,166062,114536,327110
3003,AUW,Ascott-Under-Wychwood,South East,1070,174,1394,2638
5641,ASH,Ash,South East,70344,91504,106258,268106
5547,AHV,Ash Vale,South East,112186,126804,220064,459054
2941,ABY,Ashburys,North West,47140,27498,38208,112846
9953,ASF,Ashfield,Scotland,17436,54512,12510,84458
5004,AFK,Ashford International,South East,668236,1659540,1775096,4102872
2850,ASY,Ashley,North West,3520,3298,1212,8030
5347,AHD,Ashtead,South East,346700,365916,595468,1308084
2790,AHN,Ashton-Under-Lyne,North West,102356,122818,101500,326674
5906,ANF,Ashurst New Forest,South East,31370,53254,69046,153670
1953,ASK,Askam,North West,15466,33080,20170,68716
6233,ALK,Aslockton,East Midlands,12560,9822,8822,31204
2095,ASP,Aspatria,North West,5786,12130,3110,21026
1380,APG,Aspley Guise,East,2782,3942,4912,11636
1004,AST,Aston,West Midlands,152822,191136,314114,658072
1074,ATH,Atherstone,West Midlands,61418,66618,43570,171606
2584,ATN,Atherton,North West,83434,75010,130462,288906
8608,ATT,Attadale,Scotland,924,398,,1322
1624,ATB,Attenborough,East Midlands,61466,12696,25322,99484
7367,ATL,Attleborough,East,52234,73256,37572,163062
9457,AUK,Auchinleck,Scotland,26388,38042,13324,77754
7017,AUD,Audley End,East,194660,347682,437072,979414
2215,AUG,Aughton Park,North West,39876,82782,81624,204282
8610,AVM,Aviemore,Scotland,59626,77114,1750,138490
3265,AVF,Avoncliff,South West,11684,10840,1872,24396
3200,AVN,Avonmouth,South West,78464,7150,22138,107752
5714,AXM,Axminster,South West,37772,259954,86494,384220
1492,AYS,Aylesbury,South East,340104,409554,485578,1235236
1090,AVP,Aylesbury Vale Parkway,South East,43050,39990,120226,203266
5162,AYL,Aylesford,South East,51678,46542,64146,162366
5197,AYH,Aylesham,South East,30384,42944,46916,120244
9463,AYR,Ayr,Scotland,400586,814250,244082,1458918
2187,BAC,Bache,North West,127108,294532,37268,458908
4186,BAJ,Baglan,Wales - Cymru,16240,1000,5654,22894
5681,BAG,Bagshot,South East,53126,46838,43772,143736
8552,BLD,Baildon,Yorkshire And The Humber,104030,49218,143354,296602
9763,BIO,Baillieston,Scotland,40770,60774,48370,149914
5492,BAB,Balcombe,South East,26892,50678,74470,152040
6084,BDK,Baldock,East,179656,229928,228080,637664
5399,BAL,Balham,London,1846202,2645288,3648928,8140418
9862,BHC,Balloch,Scotland,121360,320440,112482,554282
9013,BSI,Balmossie,Scotland,204,44,736,984
2561,BMB,Bamber Bridge,North West,20938,36938,10888,68764
2820,BAM,Bamford,East Midlands,16218,17442,866,34526
8839,BNV,Banavie,Scotland,2630,3832,,6462
4502,BAN,Banbury,South East,698682,1411152,677432,2787266
2471,BNG,Bangor (Gwynedd),Wales - Cymru,185164,437926,35844,658934
2238,BAH,Bank Hall,North West,34994,85616,136396,257006
5348,BAD,Banstead,South East,54712,49874,46694,151280
9466,BSS,Barassie,Scotland,40698,85002,45792,171492
7563,BLL,Bardon Mill,North East,2182,5412,1800,9394
2690,BAR,Bare Lane,North West,28072,53988,55780,137840
9764,BGI,Bargeddie,Scotland,25178,40466,26144,91788
4011,BGD,Bargoed,Wales - Cymru,131360,9066,75620,216046
7492,BKG,Barking,London,4016278,5758650,4676724,14451652
5133,BMG,Barming,South East,45736,45496,77532,168764
4445,BRM,Barmouth,Wales - Cymru,106112,49892,41918,197922
5089,BNH,Barnehurst,London,405098,428704,812402,1646204
5551,BNS,Barnes,London,710288,799834,933600,2443722
5580,BNI,Barnes Bridge,London,282566,299184,340852,922602
6406,BTB,Barnetby,Yorkshire And The Humber,15786,49408,8804,73998
5252,BAA,Barnham,South East,178766,353218,473340,1005324
9973,BNL,Barnhill,Scotland,18660,41020,32000,91680
6774,BNY,Barnsley,Yorkshire And The Humber,557982,439514,335722,1333218
5725,BNP,Barnstaple,South West,17062,346236,68898,432196
1096,BTG,Barnt Green,West Midlands,113988,78476,112336,304800
9674,BRR,Barrhead,Scotland,172428,259256,329980,761664
9467,BRL,Barrhill,Scotland,2434,7558,132,10124
6212,BAV,Barrow Haven,Yorkshire And The Humber,1174,742,,1916
1954,BIF,Barrow-In-Furness,North West,137400,383188,105008,625596
1903,BWS,Barrow-Upon-Soar,East Midlands,28772,27272,35920,91964
3805,BRY,Barry,Wales - Cymru,312290,30126,181686,524102
3806,BYD,Barry Docks,Wales - Cymru,162312,9496,79236,251044
3807,BYI,Barry Island,Wales - Cymru,319924,37036,475262,832222
9020,BYL,Barry Links,Scotland,56,6,60,122
6207,BAU,Barton-On-Humber,Yorkshire And The Humber,15810,22158,830,38798
7494,BSO,Basildon,East,1117834,753824,1396040,3267698
5520,BSK,Basingstoke,South East,1324472,2370524,2284374,5979370
3271,BTH,Bath Spa,South West,1338880,4142732,1056444,6538056
9311,BHG,Bathgate,Scotland,351790,538836,402004,1292630
8484,BTL,Batley,Yorkshire And The Humber,138444,102260,101238,341942
7909,BTT,Battersby,Yorkshire And The Humber,254,1266,,1520
5420,BAK,Battersea Park,London,479350,634826,879122,1993298
5215,BAT,Battle,South East,86354,261900,210910,559164
6870,BLB,Battlesbridge,East,5052,5990,5404,16446
6006,BAY,Bayford,East,16178,17964,16256,50398
3047,BCF,Beaconsfield,South East,406930,483510,736612,1627052
2420,BER,Bearley,West Midlands,580,442,,1022
9966,BRN,Bearsden,Scotland,146248,252496,151802,550546
5091,BSD,Bearsted,South East,65710,133922,192126,391758
8822,BSL,Beasdale,Scotland,200,142,,342
5890,BEU,Beaulieu Road,South East,2508,5864,2214,10586
8877,BEL,Beauly,Scotland,29318,17164,1788,48270
2188,BEB,Bebington,North West,342178,381292,188280,911750
7258,BCC,Beccles,East,29366,71942,12994,114302
5076,BEC,Beckenham Hill,London,110458,122362,124138,356958
5046,BKJ,Beckenham Junction,London,717132,858288,1130280,2705700
5538,BDH,Bedhampton,South East,44410,42772,41954,129136
3245,BMT,Bedminster,South West,45060,30160,20246,95466
1165,BEH,Bedworth,West Midlands,60686,19740,20880,101306
3070,BDW,Bedwyn,South West,12010,66458,30852,109320
1625,BEE,Beeston,East Midlands,270946,200482,94666,566094
5198,BKS,Bekesbourne,South East,10126,9126,6294,25546
2785,BLV,Belle Vue,North West,3052,2996,772,6820
9895,BLG,Bellgrove,Scotland,180094,412396,174936,767426
5062,BGM,Bellingham,London,203890,208636,396746,809272
9714,BLH,Bellshill,Scotland,185440,295966,303484,784890
5350,BLM,Belmont,London,43920,36154,77274,157348
1679,BLP,Belper,East Midlands,69510,105194,35988,210692
5227,BEG,Beltring,South East,4840,4056,5066,13962
5092,BVD,Belvedere,London,336330,390638,492790,1219758
8047,BEM,Bempton,Yorkshire And The Humber,1846,10100,1000,12946
8564,BEY,Ben Rhydding,Yorkshire And The Humber,96172,67796,57524,221492
7439,BEF,Benfleet,East,1168078,788848,1707840,3664766
2676,BEN,Bentham,Yorkshire And The Humber,6446,19078,900,26424
3549,BAS,Bere Alston,South West,4238,23882,12130,40250
3550,BFE,Bere Ferrers,South West,1104,10528,4476,16108
1390,BKM,Berkhamsted,East,537328,618754,622692,1778774
1045,BKW,Berkswell,West Midlands,68000,101148,186780,355928
7330,BYA,Berney Arms,East,226,196,20,442
8431,BBW,Berry Brow,Yorkshire And The Humber,9406,9872,6788,26066
5581,BRS,Berrylands,London,125640,148850,126210,400700
5323,BRK,Berwick (Sussex),South East,13142,35450,29718,78310
7791,BWK,Berwick-Upon-Tweed,North East,8316,542838,19976,571130
2351,BES,Bescar Lane,North West,814,1042,268,2124
1003,BSC,Bescot Stadium,West Midlands,28686,57440,88750,174876
5472,BTO,Betchworth,South East,3970,4368,5636,13974
6961,BET,Bethnal Green,London,348338,529072,395324,1272734
2449,BYC,Betws-y-Coed,Wales - Cymru,19146,16120,98,35364
8048,BEV,Beverley,Yorkshire And The Humber,116744,349780,192138,658662
5211,BEX,Bexhill,South East,224376,528328,695762,1448466
5093,BXY,Bexley,London,391232,432834,478388,1302454
5094,BXH,Bexleyheath,London,829466,796440,1216224,2842130
3048,BCS,Bicester North,South East,142044,337722,201960,681726
5063,BKL,Bickley,London,301628,284854,335004,921486
2136,BID,Bidston,North West,109944,125684,108472,344100
6170,BIW,Biggleswade,East,253820,343950,440394,1038164
4618,BBK,Bilbrook,West Midlands,40164,31634,61890,133688
6871,BIC,Billericay,East,688534,528696,1826114,3043344
7910,BIL,Billingham,North East,21080,45706,11218,78004
5464,BIG,Billingshurst,South East,89366,174352,220430,484148
6235,BIN,Bingham,East Midlands,27728,33882,15518,77128
8553,BIY,Bingley,Yorkshire And The Humber,418152,383334,405656,1207142
3907,BCG,Birchgrove,Wales - Cymru,33010,1730,21082,55822
5163,BCH,Birchington-On-Sea,South East,40446,96120,274242,410808
2304,BWD,Birchwood,North West,293672,166116,166412,626200
5401,BIK,Birkbeck,London,48550,38796,49798,137144
2352,BDL,Birkdale,North West,166114,767938,323782,1257834
2217,BKC,Birkenhead Central,North West,268588,328282,238792,835662
2219,BKQ,Birkenhead Hamilton Square,North West,673464,519662,426626,1619752
2145,BKN,Birkenhead North,North West,480938,235138,204804,920880
2220,BKP,Birkenhead Park,North West,291840,230376,178736,700952
1215,BHI,Birmingham International,West Midlands,2050642,3101206,1823154,6975002
4515,BMO,Birmingham Moor Street,West Midlands,1639224,2524552,3036596,7200372
1127,BHM,Birmingham New Street,West Midlands,9689786,18311828,19924310,47925924
1006,BSW,Birmingham Snow Hill,West Midlands,1027132,1443134,2896522,5366788
7835,BIA,Bishop Auckland,North East,34026,105584,15768,155378
9940,BBG,Bishopbriggs,Scotland,138582,507628,139158,785368
6800,BIS,Bishops Stortford,East,775924,993912,1489758,3259594
5945,BTE,Bitterne,South East,31686,30918,22676,85280
2737,BBN,Blackburn,North West,312950,661026,226210,1200186
5095,BKH,Blackheath,London,877370,1185672,1210966,3274008
7400,BHO,Blackhorse Road,London,494386,821786,698222,2014394
2739,BPN,Blackpool North,North West,257896,1223532,68414,1549842
2738,BPB,Blackpool Pleasure Beach,North West,15256,99508,692,115456
2740,BPS,Blackpool South,North West,18926,79522,6032,104480
2732,BLK,Blackrod,North West,35778,30344,497642,563764
5625,BAW,Blackwater,South East,135238,232444,126074,493756
2450,BFF,Blaenau Ffestiniog,Wales - Cymru,17070,22012,20,39102
8750,BLA,Blair Atholl,Scotland,6850,13910,248,21008
9760,BAI,Blairhill,Scotland,108734,182752,200336,491822
1176,BKT,Blake Street,West Midlands,99664,116794,218876,435334
4574,BKD,Blakedown,West Midlands,21660,13516,62066,97242
