Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2021 Entries and exits,NLC,TLC,Region
Perry Barr,"10,780","17,440","18,610","46,830",1128,PRY,West Midlands
Pershore,"8,998","16,110","12,004","37,112",4887,PSH,West Midlands
Perth,"40,974","125,812","14,668","181,454",8805,PTH,Scotland
Peterborough,"149,060","777,554","162,618","1,089,232",6133,PBO,East of England
Petersfield,"89,690","123,566","157,944","371,200",5657,PTR,South East
Petts Wood,"132,934","172,520","93,540","398,994",5123,PET,London
Pevensey Bay,394,672,"3,364","4,430",5462,PEB,South East
Pewsey,270,"42,364","5,068","47,702",3062,PEW,South West
Pilning,132,78,0,210,3214,PIL,South West
Pinhoe,"12,218","18,174","15,806","46,198",5757,PIN,South West
Pitlochry,"1,594","20,826",30,"22,450",8801,PIT,Scotland
Pitsea,"214,818","140,814","140,192","495,824",7452,PSE,East of England
Pleasington,704,"2,058",10,"2,772",2752,PLS,North West
Plockton,"1,354",430,0,"1,784",8670,PLK,Scotland
Pluckley,"7,668","10,102","10,692","28,462",5225,PLC,South East
Plumley,"1,348","1,680",206,"3,234",2308,PLM,North West
Plumpton,"5,326","15,048","5,984","26,358",5332,PMP,South East
Plumstead,"172,546","260,944","188,318","621,808",5208,PLU,London
Plymouth,"32,840","560,596","84,658","678,094",3580,PLY,South West
Pokesdown,"41,686","47,594","7,544","96,824",5885,POK,South West
Polegate,"41,478","158,218","133,984","333,680",5455,PLG,South East
Polesworth,22,0,0,22,1078,PSW,West Midlands
Pollokshaws East,"17,050","37,832","33,064","87,946",9820,PWE,Scotland
Pollokshaws West,"12,798","31,306","5,866","49,970",9804,PWW,Scotland
Pollokshields East,"28,614","71,432","14,196","114,242",9821,PLE,Scotland
Pollokshields West,"8,072","23,982","11,504","43,558",9623,PLW,Scotland
Polmont,"25,372","28,206","15,824","69,402",9936,PMT,Scotland
Polsloe Bridge,"6,670","31,198","4,812","42,680",3422,POL,South West
Ponders End,"98,362","149,712","50,682","298,756",6819,PON,London
Pont-y-Pant,18,20,0,38,2459,PYP,Wales
Pontarddulais,74,44,0,118,4251,PTD,Wales
Pontefract Baghill,"1,412","1,162",194,"2,768",8540,PFR,Yorkshire and The Humber
Pontefract Monkhill,"34,050","24,736","19,650","78,436",8548,PFM,Yorkshire and The Humber
Pontefract Tanshelf,"6,006","1,976",406,"8,388",8541,POT,Yorkshire and The Humber
Pontlottyn,"3,454",212,"2,034","5,700",4023,PLT,Wales
Pontyclun,"21,790","9,164","10,682","41,636",3850,PYC,Wales
Pontypridd,"106,108","3,682","43,482","153,272",3904,PPD,Wales
Poole,"60,334","119,220","27,474","207,028",5883,POO,South West
Poppleton,"3,244","8,474","2,750","14,468",8254,POP,Yorkshire and The Humber
Port Glasgow,"15,190","31,778","26,942","73,910",9667,PTG,Scotland
Port Sunlight,"61,672","83,708","54,202","199,582",2198,PSL,North West
Port Talbot Parkway,"84,818","18,804","25,860","129,482",4181,PTA,Wales
Portchester,"34,070","41,434","22,698","98,202",5928,PTC,South East
Porth,"22,752",974,"12,046","35,772",3870,POR,Wales
Porthmadog,"4,596","1,218","3,692","9,506",4313,PTM,Wales
Portlethen,"6,774","4,612","2,824","14,210",8860,PLN,Scotland
Portslade,"93,944","152,536","67,372","313,852",5276,PLD,South East
Portsmouth Arms,22,124,0,146,5829,PMA,South West
Portsmouth Harbour,"115,098","312,460","112,170","539,728",5540,PMH,South East
Potters Bar,"192,522","242,164","127,782","562,468",6022,PBR,East of England
Poulton-Le-Fylde,"15,964","77,988","11,810","105,762",2671,PFY,North West
Poynton,"13,748","15,936","3,652","33,336",2874,PYT,North West
Prees,304,332,"1,040","1,676",1346,PRS,West Midlands
Prescot,"26,866","31,554","19,308","77,728",2337,PSC,North West
Prestatyn,"56,516","22,814","14,826","94,156",2521,PRT,Wales
Prestbury,"3,746","4,032",990,"8,768",2875,PRB,North West
Preston Park,"74,266","104,958","42,298","221,522",5285,PRP,South East
Prestonpans,"14,666","13,142","5,962","33,770",9366,PST,Scotland
Princes Risborough,"40,980","32,650","33,768","107,398",3055,PRR,South East
Prittlewell,"33,124","22,808","41,524","97,456",7419,PRL,East of England
Prudhoe,"9,192","18,392","5,170","32,754",7509,PRU,North East
Pulborough,"16,820","36,862","18,072","71,754",5468,PUL,South East
Purfleet,"113,334","97,986","43,260","254,580",7453,PFL,East of England
Purley,"238,090","384,540","185,270","807,900",5379,PUR,London
Purley Oaks,"43,034","63,968","23,228","130,230",5430,PUO,London
Putney,"561,256","872,942","530,062","1,964,260",5603,PUT,London
Pwllheli,"3,874","1,636","3,674","9,184",4314,PWL,Wales
Pyle,"11,002","4,504","5,414","20,920",4185,PYL,Wales
Queenborough,"23,744","15,454","18,608","57,806",5176,QBR,South East
