Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2021 Entries and exits,NLC,TLC,Region
Ravensbourne,"25,816","26,134","11,514","63,464",5083,RVB,London
Ravensthorpe,"4,450","3,706","5,098","13,254",8519,RVN,Yorkshire and The Humber
Rawcliffe,28,8,0,36,8031,RWC,Yorkshire and The Humber
Rayleigh,"103,900","87,132","161,324","352,356",6884,RLG,East of England
Raynes Park,"313,350","478,922","256,604","1,048,876",5569,RAY,London
Reading,"628,702","1,720,046","614,362","2,963,110",3149,RDG,South East
Reading West,"45,414","62,052","26,716","134,182",3160,RDW,South East
Rectory Road,"85,312","142,128","30,210","257,650",6967,REC,London
Redbridge,"4,902","2,572","4,510","11,984",5912,RDB,South East
Redcar Central,"20,156","76,300","17,142","113,598",7950,RCC,North East
Redcar East,"5,394","11,484","4,010","20,888",7974,RCE,North East
Reddish North,"20,058","21,482","14,318","55,858",2979,RDN,North West
Reddish South,10,8,0,18,2857,RDS,North West
Redditch,"72,610","86,246","50,966","209,822",1208,RDC,West Midlands
Redhill,"231,270","353,176","166,288","750,734",5478,RDH,South East
Redland,"21,476","8,276","3,580","33,332",3247,RDA,South West
Redruth,"12,032","86,524","24,964","123,520",3530,RED,South West
Reedham (Norfolk),"2,682","4,374","3,714","10,770",7316,REE,East of England
Reigate,"104,540","128,042","136,258","368,840",5480,REI,South East
Renton,"1,130","2,074","3,088","6,292",9867,RTN,Scotland
Retford,"19,374","79,986","17,024","116,384",6511,RET,East Midlands
Rhiwbina,"7,140",254,"3,118","10,512",3906,RHI,Wales
Rhosneigr,"1,176",964,10,"2,150",2544,RHO,Wales
Rhyl,"83,682","46,670","21,464","151,816",2461,RHL,Wales
Rhymney,"7,662",356,"2,942","10,960",4027,RHY,Wales
Ribblehead,992,"3,762",0,"4,754",2106,RHD,Yorkshire and The Humber
Rice Lane,"39,804","81,316","88,442","209,562",2131,RIL,North West
Rickmansworth,"123,282","190,774","24,004","338,060",687,RIC,East of England
Riddlesdown,"22,878","31,056","17,108","71,042",5432,RDD,London
Ridgmont,"1,068","3,120","2,212","6,400",1538,RID,East of England
Riding Mill,"1,768","2,916","1,632","6,316",7510,RDM,North East
Rishton,"3,110","8,778","2,956","14,844",2580,RIS,North West
Robertsbridge,"11,522","23,466","40,464","75,452",5226,RBR,South East
Roby,"21,294","21,566","11,376","54,236",2261,ROB,North West
Rochdale,"115,480","185,788","90,846","392,114",2924,RCD,North West
Roche,106,"1,410",48,"1,564",3532,ROC,South West
Rochester,"152,400","214,796","218,046","585,242",5203,RTR,South East
Rochford,"56,204","56,040","77,672","189,916",6885,RFD,East of England
Rock Ferry,"122,128","92,758","45,366","260,252",2189,RFY,North West
Rogart,86,64,0,150,8671,ROG,Scotland
Rogerstone,"10,582",136,"4,206","14,924",9921,ROR,Wales
Rolleston,334,54,730,"1,118",6353,ROL,East Midlands
Roman Bridge,26,38,0,64,2444,RMB,Wales
Romford,"996,852","1,650,688","485,582","3,133,122",6886,RMF,London
Romiley,"24,362","20,780","25,148","70,290",2833,RML,North West
Romsey,"43,256","52,746","30,648","126,650",5943,ROM,South East
Roose,"8,324","10,638","4,428","23,390",1962,ROO,North West
Rose Grove,"5,878","7,594","5,062","18,534",2722,RSG,North West
Rosyth,"8,274","12,724","3,846","24,844",9190,ROS,Scotland
Rotherham Central,"54,624","36,890","34,566","126,080",6676,RMC,Yorkshire and The Humber
Roughton Road,"1,528","1,742",34,"3,304",7297,RNR,East of England
Rowley Regis,"64,942","88,212","133,536","286,690",4606,ROW,West Midlands
Roy Bridge,362,198,0,560,8835,RYB,Scotland
Roydon,"13,750","18,076","8,878","40,704",6829,RYN,East of England
Royston,"96,584","123,966","69,112","289,662",6090,RYS,East of England
Ruabon,"13,502","4,930","2,200","20,632",4477,RUA,Wales
Rufford,"1,970","2,080",94,"4,144",2315,RUF,North West
Rugby,"141,346","288,984","125,372","555,702",1087,RUG,West Midlands
Rugeley Town,"10,832","11,134","4,538","26,504",1135,RGT,West Midlands
Rugeley Trent Valley,"13,442","30,512","5,440","49,394",1084,RGL,West Midlands
Runcorn,"44,970","85,954","11,860","142,784",2291,RUN,North West
Runcorn East,"22,460","8,106","1,784","32,350",2294,RUE,North West
Ruskington,"14,784","1,160","2,708","18,652",6327,RKT,East Midlands
Ruswarp,50,634,0,684,8174,RUS,Yorkshire and The Humber
Rutherglen,"47,212","118,366","47,532","213,110",9787,RUT,Scotland
Ryde Esplanade,"12,602","22,398","11,880","46,880",5542,RYD,South East
Ryde Pier Head,"7,346","12,428","6,526","26,300",5541,RYP,South East
Ryder Brow,"3,220","2,260","2,158","7,638",2977,RRB,North West
Rye House,"48,732","65,666","21,830","136,228",6820,RYH,East of England
Salford Crescent,"137,838","120,070","62,020","319,928",2794,SLD,North West
Salhouse,"2,188","8,008","1,370","11,566",7318,SAH,East of England
Salisbury,"108,560","250,192","96,554","455,306",5663,SAL,South West
Saltaire,"78,212","55,056","84,560","217,828",8561,SAE,Yorkshire and The Humber
Saltash,"2,942","19,076","19,136","41,154",3587,STS,South West
Saltburn,"11,406","44,668","5,586","61,660",7951,SLB,North East
Saltcoats,"8,726","25,586","4,040","38,352",9547,SLT,Scotland
Saltmarshe,114,144,0,258,8033,SAM,Yorkshire and The Humber
Salwick,318,34,0,352,2673,SLW,North West
Sandbach,"20,552","27,108","16,180","63,840",1261,SDB,North West
Sanderstead,"68,188","93,082","50,574","211,844",5433,SNR,London
Sandhills,"115,442","179,824","46,448","341,714",2249,SDL,North West
Sandling,"4,830","9,128","6,042","20,000",5025,SDG,South East
Sandown,"5,828","5,978","12,130","23,936",5525,SAN,South East
Sandplace,22,242,564,828,3584,SDP,South West
Sandwich,"14,112","29,392","62,188","105,692",5026,SDW,South East
Sandy,"45,176","66,602","31,538","143,316",6172,SDY,East of England
Sankey For Penketh,"1,020",122,356,"1,498",2388,SNK,North West
Sanquhar,594,"1,118",40,"1,752",9549,SQH,Scotland
Sarn,"7,530",178,"4,328","12,036",4270,SRR,Wales
Saundersfoot,860,506,0,"1,366",4108,SDF,Wales
Saunderton,"5,100","3,544","2,448","11,092",3056,SDR,South East
Sawbridgeworth,"32,930","44,142","27,928","105,000",6806,SAW,East of England
Saxilby,"5,398","11,490","3,960","20,848",6328,SXY,East Midlands
Saxmundham,"7,880","23,414","3,728","35,022",7224,SAX,East of England
Scarborough,"42,322","202,946","24,994","270,262",8185,SCA,Yorkshire and The Humber
Scotscalder,12,6,0,18,8672,SCT,Scotland
Scotstounhill,"18,002","37,158","20,036","75,196",9996,SCH,Scotland
Scunthorpe,"18,776","58,640","13,154","90,570",6456,SCU,Yorkshire and The Humber
Sea Mills,"9,724","1,670","1,714","13,108",3254,SML,South West
Seaham,"7,472","19,332","8,424","35,228",7814,SEA,North East
Seamer,"9,066","19,542","5,920","34,528",8178,SEM,Yorkshire and The Humber
Seascale,"3,212","7,654","3,240","14,106",2003,SSC,North West
Seaton Carew,"5,486","11,342","2,472","19,300",8007,SEC,North East
Selby,"26,438","71,894","25,710","124,042",8201,SBY,Yorkshire and The Humber
Selhurst,"138,846","175,832","140,746","455,424",5434,SRS,London
Sellafield,"29,854","5,502","27,168","62,524",2004,SEL,North West
Selling,"11,116","10,074","10,138","31,328",5179,SEG,South East
Selly Oak,"119,652","243,552","268,146","631,350",1105,SLY,West Midlands
Settle,"4,332","23,178",70,"27,580",2107,SET,Yorkshire and The Humber
Seven Kings,"424,288","648,102","213,792","1,286,182",6893,SVK,London
Seven Sisters,"726,828","1,215,004","417,066","2,358,898",6931,SVS,London
Sevenoaks,"235,660","312,578","296,970","845,208",5124,SEV,South East
Severn Beach,"39,762",614,"58,350","98,726",3205,SVB,South West
Severn Tunnel Junction,"24,982","2,512","7,388","34,882",3679,STJ,Wales
Shanklin,"13,362","24,790","10,958","49,110",5529,SHN,South East
Shawford,"13,482","15,740","7,984","37,206",5929,SHW,South East
Shawlands,"6,596","17,734","3,234","27,564",9823,SHL,Scotland
Sheerness-On-Sea,"42,794","51,064","39,464","133,322",5184,SSS,South East
Sheffield,"430,384","1,253,610","222,826","1,906,820",6691,SHF,Yorkshire and The Humber
Shenfield,"367,772","390,652","304,670","1,063,094",6888,SNF,East of England
Shenstone,"7,596","4,136","49,838","61,570",1178,SEN,West Midlands
Shepley,"7,178","5,350","4,956","17,484",8448,SPY,Yorkshire and The Humber
Shepperton,"22,366","23,348","32,818","78,532",5605,SHP,South East
Shepreth,"6,744","11,410","5,522","23,676",7044,STH,East of England
Sherborne,"5,084","26,510","4,858","36,452",5835,SHE,South West
Sherburn-In-Elmet,"4,646","9,710","4,722","19,078",8257,SIE,Yorkshire and The Humber
Sheringham,"15,220","34,790","3,204","53,214",7319,SHM,East of England
Shettleston,"26,518","62,376","26,100","114,994",9903,SLS,Scotland
Shieldmuir,"3,802","5,926","3,010","12,738",9552,SDM,Scotland
Shifnal,"11,458","14,806","12,814","39,078",4619,SFN,West Midlands
Shildon,"4,814","12,360","2,188","19,362",7893,SHD,North East
Shiplake,"5,754","5,946","3,328","15,028",3150,SHI,South East
Shippea Hill,32,4,0,36,7073,SPP,East of England
Shipton,228,364,0,592,3009,SIP,South East
Shirehampton,"12,960","2,220","2,274","17,454",3206,SHH,South West
Shireoaks,"2,456","4,224","1,210","7,890",6570,SRO,East Midlands
Shirley,"16,736","30,690","39,304","86,730",4526,SRL,West Midlands
Shoeburyness,"81,696","74,866","94,332","250,894",7455,SRY,East of England
Sholing,"10,400","9,928","15,408","35,736",5930,SHO,South East
Shoreham (Kent),"4,946","11,802","2,336","19,084",5074,SEH,South East
Shoreham-By-Sea,"109,268","220,730","88,296","418,294",5277,SSE,South East
Shortlands,"123,422","136,970","77,830","338,222",5084,SRT,London
Shotton,"33,288","5,770","5,310","44,368",2546,SHT,Wales
Shotts,"9,058","12,712","3,356","25,126",9739,SHS,Scotland
Shrewsbury,"208,662","208,374","132,656","549,692",4387,SHR,West Midlands
Sidcup,"255,330","342,390","153,350","751,070",5125,SID,London
Sileby,"11,874","6,850","9,738","28,462",1902,SIL,East Midlands
Silecroft,"1,032","2,256",982,"4,270",2000,SIC,North West
Silkstone Common,"3,798","2,590","1,226","7,614",6782,SLK,Yorkshire and The Humber
Silver Street,"238,786","324,468","110,316","673,570",6972,SLV,London
Silverdale,"1,330","7,256","7,616","16,202",1968,SVR,North West
Singer,"13,054","21,640","33,896","68,590",9988,SIN,Scotland
Sittingbourne,"208,524","225,830","315,892","750,246",5187,SIT,South East
Skegness,"25,920","84,134","2,466","112,520",6265,SKG,East Midlands
Skewen,"7,452",562,"1,308","9,322",4217,SKE,Wales
Skipton,"108,918","136,118","121,222","366,258",2728,SKI,Yorkshire and The Humber
Slade Green,"102,910","154,996","113,296","371,202",5154,SGR,London
Slaithwaite,"22,520","18,556","14,032","55,108",8450,SWT,Yorkshire and The Humber
Slateford,"6,708","3,180","1,354","11,242",9236,SLA,Scotland
Sleaford,"30,366","26,096","20,128","76,590",6362,SLR,East Midlands
Sleights,108,930,0,"1,038",8179,SLH,Yorkshire and The Humber
Slough,"375,000","656,416","371,938","1,403,354",3172,SLO,South East
Small Heath,"24,366","19,868","29,288","73,522",4530,SMA,West Midlands
Smallbrook Junction,206,"1,062",0,"1,268",5494,SAB,South East
Smethwick Galton Bridge,"63,376","74,412","95,884","233,672",1114,SGB,West Midlands
Smethwick Rolfe Street,"39,188","46,510","57,158","142,856",1150,SMR,West Midlands
Smithy Bridge,"16,834","22,592","11,004","50,430",2660,SMB,North West
Snaith,102,28,0,130,8036,SNI,Yorkshire and The Humber
Snodland,"24,568","24,470","49,412","98,450",5189,SDA,South East
Snowdown,908,"1,158","1,804","3,870",5185,SWO,South East
Sole Street,"4,048","5,292","4,522","13,862",5126,SOR,South East
Solihull,"79,784","165,988","162,324","408,096",4527,SOL,West Midlands
Somerleyton,572,"1,156",466,"2,194",7320,SYT,East of England
South Acton,"83,322","132,792","47,190","263,304",1452,SAT,London
South Bank,"4,782","4,704","1,810","11,296",7953,SBK,North East
South Bermondsey,"65,748","106,748","86,488","258,984",5425,SBM,London
South Croydon,"144,608","119,674","73,254","337,536",5410,SCY,London
South Elmsall,"35,116","24,410","17,396","76,922",8355,SES,Yorkshire and The Humber
South Greenford,"3,436","3,828","1,546","8,810",3138,SGN,London
South Gyle,"22,216","18,886","8,740","49,842",9318,SGL,Scotland
South Hampstead,"40,566","83,178","40,828","164,572",1451,SOH,London
South Kenton,"57,614","118,548","38,312","214,474",1453,SOK,London
South Merton,"13,964","19,132","11,068","44,164",5292,SMO,London
South Milford,"7,492","15,916","3,254","26,662",8142,SOM,Yorkshire and The Humber
South Ruislip,"30,116","21,234","7,314","58,664",3057,SRU,London
South Tottenham,"194,662","301,202","187,298","683,162",7404,STO,London
South Wigston,"8,872","8,744","2,606","20,222",1949,SWS,East Midlands
Southall,"355,730","600,642","310,328","1,266,700",3187,STL,London
Southampton Central,"383,648","843,366","221,062","1,448,076",5932,SOU,South East
Southbourne,"20,644","29,554","27,662","77,860",5263,SOB,South East
Southbury,"118,130","213,298","44,570","375,998",6947,SBU,London
Southease,"4,160","5,488",654,"10,302",5339,SEE,South East
Southend Central,"261,368","316,248","327,932","905,548",7456,SOC,East of England
Southend East,"148,294","179,434","186,062","513,790",7457,SOE,East of England
Southend Victoria,"161,518","195,432","202,654","559,604",7420,SOV,East of England
Southminster,"3,904","5,216","9,400","18,520",6890,SMN,East of England
Southport,"182,062","924,256","160,394","1,266,712",2262,SOP,North West
Southwick,"38,160","64,442","23,956","126,558",5286,SWK,South East
Sowerby Bridge,"39,878","29,152","22,030","91,060",8527,SOW,Yorkshire and The Humber
Spalding,"13,460","26,872","4,654","44,986",6388,SPA,East Midlands
Spean Bridge,430,516,0,946,8836,SBR,Scotland
Spital,"41,116","44,418","33,056","118,590",2199,SPI,North West
Spondon,"4,378",92,"2,694","7,164",1699,SPO,East Midlands
Spooner Row,46,28,0,74,7379,SPN,East of England
Spring Road,"13,810","23,594","21,568","58,972",4535,SRI,West Midlands
Springburn,"25,366","45,708","13,140","84,214",9997,SPR,Scotland
Springfield,240,14,0,254,9175,SPF,Scotland
Squires Gate,"2,034","5,442",512,"7,988",2666,SQU,North West
Stafford,"191,742","306,512","75,766","574,020",1268,STA,West Midlands
Staines,"227,096","236,326","129,128","592,550",5670,SNS,South East
Stallingborough,496,952,30,"1,478",6287,SLL,Yorkshire and The Humber
Stalybridge,"86,356","100,802","76,990","264,148",2983,SYB,North West
Stamford Hill,"64,850","116,380","36,842","218,072",6968,SMH,London
Stanford-Le-Hope,"110,992","62,052","90,298","263,342",7458,SFO,East of England
Stansted Airport,"549,248","236,460","9,284","794,992",6834,SSD,East of England
Stansted Mountfitchet,"49,118","58,512","42,506","150,136",6833,SST,East of England
Staplehurst,"28,488","53,582","70,082","152,152",5228,SPU,South East
Stapleton Road,"40,708","18,152","6,862","65,722",3250,SRD,South West
Starbeck,"18,294","26,094","9,806","54,194",8221,SBE,Yorkshire and The Humber
Starcross,"5,988","22,112","10,544","38,644",3413,SCS,South West
Staveley (Cumbria),"2,126","7,852","8,866","18,844",1977,SVL,North West
Stechford,"25,168","30,018","40,852","96,038",1043,SCF,West Midlands
Stepps,"10,158","22,754","6,154","39,066",9842,SPS,Scotland
Stevenage,"442,552","569,234","215,468","1,227,254",6092,SVG,East of England
Stevenston,"3,048","7,106","1,886","12,040",9553,STV,Scotland
Stewartby,"2,514","1,966","41,290","45,770",1386,SWR,East of England
Stewarton,"10,136","17,038","7,730","34,904",9554,STT,Scotland
Stirling,"134,934","252,948","44,582","432,464",9888,STG,Scotland
Stockport,"232,802","537,682","142,612","913,096",2771,SPT,North West
Stocksfield,"2,426","4,662","2,420","9,508",7513,SKS,North East
Stocksmoor,"2,036","1,904","1,324","5,264",8451,SSM,Yorkshire and The Humber
Stockton,"7,824","14,938","3,412","26,174",7975,STK,North East
Stoke Mandeville,"20,298","11,284","27,100","58,682",1467,SKM,South East
Stoke Newington,"110,142","207,226","55,302","372,670",6934,SKW,London
Stoke-On-Trent,"198,918","424,814","63,072","686,804",1314,SOT,West Midlands
Stone Crossing,"28,022","20,188","34,108","82,318",5248,SCG,South East
Stonebridge Park,"174,368","316,262","88,786","579,416",1454,SBP,London
Stonegate,"5,580","12,174","11,470","29,224",5240,SOG,South East
Stonehaven,"21,622","34,196","9,428","65,246",8964,STN,Scotland
Stonehouse,"2,214","33,406","4,480","40,100",4770,SHU,South West
Stoneleigh,"76,356","86,830","39,304","202,490",5606,SNL,South East
Stourbridge Junction,"49,168","107,296","156,616","313,080",4646,SBJ,West Midlands
Stourbridge Town,"18,894","34,758","105,312","158,964",4643,SBT,West Midlands
Stowmarket,"42,672","83,290","59,800","185,762",7355,SMK,East of England
Stranraer,"3,534","5,480",0,"9,014",9555,STR,Scotland
Stratford International,"161,690","415,200","164,554","741,444",7222,SFA,London
Stratford-Upon-Avon,"30,352","92,962","86,356","209,670",4558,SAV,West Midlands
Strathcarron,758,388,46,"1,192",8673,STC,Scotland
Strawberry Hill,"63,170","78,678","22,264","164,112",5607,STW,London
Streatham Common,"290,034","470,316","425,296","1,185,646",5384,SRC,London
Streatham Hill,"143,746","241,226","125,306","510,278",5435,SRH,London
Streethouse,"3,810","1,942","1,422","7,174",8543,SHC,Yorkshire and The Humber
Strines,856,"1,426","1,438","3,720",2834,SRN,North West
Stromeferry,112,24,0,136,8674,STF,Scotland
Sturry,"8,008","12,140","10,510","30,658",5029,STU,South East
Styal,796,748,378,"1,922",2868,SYA,North West
Sudbury Hill Harrow,"7,086","5,754","1,744","14,584",1484,SDH,London
Sugar Loaf,0,0,0,0,4157,SUG,Wales
Summerston,"4,130","16,548","3,498","24,176",9959,SUM,Scotland
Sunbury,"22,810","18,120","24,752","65,682",5608,SUU,South East
Sunderland,"29,554","68,894","8,802","107,250",7640,SUN,North East
Sundridge Park,"15,376","15,750","6,726","37,852",5155,SUP,London
Sunningdale,"53,038","42,714","21,194","116,946",5671,SNG,South East
Sunnymeads,"3,490","4,796","1,648","9,934",5675,SNY,South East
Surbiton,"622,058","939,824","383,272","1,945,154",5571,SUR,London
Sutton Coldfield,"64,194","97,316","151,116","312,626",1044,SUT,West Midlands
Sutton Common,"31,858","37,102","29,844","98,804",5436,SUC,London
Sutton Parkway,"24,718","8,848","4,230","37,796",1861,SPK,East Midlands
Swale,"1,026",716,"1,400","3,142",5249,SWL,South East
Swanley,"129,386","192,514","76,990","398,890",5075,SAY,South East
Swanscombe,"29,942","35,612","28,922","94,476",5156,SWM,South East
Swansea,"210,512","192,540","65,772","468,824",4222,SWA,Wales
Swanwick,"63,884","58,586","38,434","160,904",5920,SNW,South East
Sway,"4,922","8,776","4,210","17,908",5884,SWY,South East
Swaythling,"8,404","8,112","7,178","23,694",5933,SWG,South East
Swinderby,"3,090",184,426,"3,700",6355,SWD,East Midlands
Swineshead,338,38,372,748,6228,SWE,East Midlands
Sydenham Hill,"66,578","86,478","55,486","208,542",5085,SYH,London
Syon Lane,"75,688","70,092","77,878","223,658",5609,SYL,London
Syston,"36,836","5,820","7,834","50,490",1900,SYS,East Midlands
Tackley,592,"1,856",0,"2,448",3195,TAC,South East
Tadworth,"20,486","21,826","14,974","57,286",5386,TAD,South East
Taffs Well,"26,028",952,"10,426","37,406",3880,TAF,Wales
Tain,"2,578",796,148,"3,522",8676,TAI,Scotland
Tal-y-Cafn,72,6,258,336,2463,TLC,Wales
Talsarnau,154,50,0,204,4479,TAL,Wales
Talybont,"1,820",370,"2,280","4,470",4355,TLB,Wales
Tame Bridge Parkway,"28,378","44,966","46,706","120,050",1010,TAB,West Midlands
Taplow,"27,066","38,866","28,982","94,914",3151,TAP,South East
Tattenham Corner,"14,170","16,970","10,836","41,976",5387,TAT,South East
Taunton,"60,970","270,888","32,386","364,244",3471,TAU,South West
Taynuilt,"1,404",776,"32,874","35,054",8727,TAY,Scotland
Teddington,"136,184","203,908","68,310","408,402",5572,TED,London
Teignmouth,"32,396","163,488","73,364","269,248",3430,TGM,South West
Telford Central,"48,946","113,434","42,862","205,242",4691,TFC,West Midlands
Templecombe,"3,914","11,084","5,490","20,488",5837,TMC,South West
Tenby,"10,332","5,904",10,"16,246",4110,TEN,Wales
Teynham,"15,728","16,250","19,682","51,660",5193,TEY,South East
Thames Ditton,"67,206","69,872","29,980","167,058",5610,THD,South East
Thatcham,"30,010","49,150","27,404","106,564",3152,THA,South East
Thatto Heath,"14,370","17,946","4,452","36,768",2264,THH,North West
The Hawthorns,"16,550","21,216","47,214","84,980",4523,THW,West Midlands
Theale,"21,532","32,248","19,410","73,190",3153,THE,South East
Theobalds Grove,"79,424","118,026","20,650","218,100",6949,TEO,East of England
Thetford,"12,242","48,034","13,424","73,700",7203,TTF,East of England
Thirsk,"10,458","28,162","9,374","47,994",8191,THI,Yorkshire and The Humber
Thornaby,"32,050","97,728","25,808","155,586",7976,TBY,North East
Thorne North,"12,092","9,978","9,734","31,804",6530,TNN,Yorkshire and The Humber
Thorne South,"9,464","6,740","6,350","22,554",6531,TNS,Yorkshire and The Humber
Thornford,244,374,0,618,5849,THO,South West
Thornliebank,"12,484","26,812","11,654","50,950",9812,THB,Scotland
Thornton Abbey,112,126,0,238,6210,TNA,Yorkshire and The Humber
Thornton Heath,"258,220","418,824","367,444","1,044,488",5388,TTH,London
Thorntonhall,926,"1,676",496,"3,098",9825,THT,Scotland
Thorpe Bay,"83,014","64,270","52,528","199,812",7460,TPB,East of England
Thorpe Culvert,18,14,0,32,6267,TPC,East Midlands
Thorpe-le-Soken,"9,854","9,980","12,430","32,264",6857,TLS,East of England
Three Bridges,"207,882","312,152","252,452","772,486",5491,TBD,South East
Three Oaks,"1,126","1,342","1,446","3,914",5028,TOK,South East
Thurgarton,250,18,56,324,6203,THU,East Midlands
Thurnscoe,"7,754","5,364","4,394","17,512",8282,THC,Yorkshire and The Humber
Thurso,"3,820","2,548",106,"6,474",8677,THS,Scotland
Thurston,"4,646","4,488","6,554","15,688",7356,TRS,East of England
Tilbury Town,"265,270","114,328","209,614","589,212",7462,TIL,East of England
Tile Hill,"25,660","38,654","43,046","107,360",1035,THL,West Midlands
Tilehurst,"17,498","41,904","32,528","91,930",3154,TLH,South East
Tipton,"18,632","33,130","23,740","75,502",1159,TIP,West Midlands
Tir-Phil,"2,772",128,910,"3,810",4025,TIR,Wales
Tisbury,"12,610","25,008","13,944","51,562",5798,TIS,South West
Tiverton Parkway,"4,466","88,334","26,364","119,164",3474,TVP,South West
Todmorden,"48,622","61,970","42,448","153,040",2677,TOD,Yorkshire and The Humber
Tolworth,"49,502","63,502","43,104","156,108",5573,TOL,London
Ton Pentre,"8,164",378,"4,482","13,024",3897,TPN,Wales
Tonbridge,"258,850","370,632","580,960","1,210,442",5229,TON,South East
Tondu,"5,444",122,"2,006","7,572",4271,TDU,Wales
Tonfanau,170,20,0,190,4432,TNF,Wales
Tonypandy,"11,190",484,"4,288","15,962",3882,TNP,Wales
Tooting,"123,000","158,464","110,516","391,980",5389,TOO,London
Topsham,"14,324","45,362","8,232","67,918",5758,TOP,South West
Torquay,"5,344","122,964","40,502","168,810",3434,TQY,South West
Torre,"21,500","56,866","60,964","139,330",3432,TRR,South West
Totnes,"13,686","150,532","61,236","225,454",3558,TOT,South West
Tottenham Hale,"918,454","1,222,628","510,468","2,651,550",6951,TOM,London
Totton,"28,970","28,306","18,478","75,754",5921,TTN,South East
Town Green,"19,446","64,474","17,814","101,734",2283,TWN,North West
Trafford Park,"5,494","2,900","1,432","9,826",2969,TRA,North West
Trefforest,"60,502","2,868","16,120","79,490",3887,TRF,Wales
Trefforest Estate,"6,006",162,"1,636","7,804",3886,TRE,Wales
Trehafod,"5,730",144,"1,174","7,048",3888,TRH,Wales
Treherbert,"13,228",540,"13,750","27,518",3889,TRB,Wales
Treorchy,"8,542",358,"11,342","20,242",3891,TRY,Wales
Trimley,"3,308","2,764","1,294","7,366",7225,TRM,East of England
Tring,"33,768","61,568","22,556","117,892",1393,TRI,East of England
Troed-Y-Rhiw,"3,508",82,"1,458","5,048",4276,TRD,Wales
Troon,"19,066","44,018","16,706","79,790",9562,TRN,Scotland
Trowbridge,"106,226","86,714","59,216","252,156",3348,TRO,South West
Truro,"34,638","292,538","92,820","419,996",3540,TRU,South West
Tulloch,152,114,0,266,8837,TUL,Scotland
Tulse Hill,"229,340","383,632","162,740","775,712",5390,TUH,London
Tunbridge Wells,"166,970","329,514","239,392","735,876",5230,TBW,South East
Turkey Street,"120,112","194,458","25,264","339,834",6952,TUR,London
Twickenham,"317,870","426,424","188,626","932,920",5574,TWI,London
Twyford,"77,876","127,670","60,702","266,248",3155,TWY,South East
Ty Croes,536,174,480,"1,190",2439,TYC,Wales
Ty Glas,"8,820",218,"4,008","13,046",3817,TGS,Wales
Tygwyn,0,4,0,4,4357,TYG,Wales
Tyndrum Lower,486,372,0,858,8728,TYL,Scotland
Tyseley,"19,138","18,012","30,084","67,234",4518,TYS,West Midlands
Tywyn,"6,588","1,634","9,982","18,204",4433,TYW,Wales
Uckfield,"11,662","22,094","15,068","48,824",5334,UCK,South East
Uddingston,"44,956","64,528","28,610","138,094",9776,UDD,Scotland
Ulceby,354,610,132,"1,096",6211,ULC,Yorkshire and The Humber
Ulleskelf,"1,264","1,218",618,"3,100",8261,ULL,Yorkshire and The Humber
Ulverston,"22,478","46,376","21,830","90,684",2010,ULV,North West
Umberleigh,580,"6,784","7,736","15,100",5826,UMB,South West
Uphall,"49,820","44,896","16,578","111,294",9373,UHA,Scotland
Upholland,"5,322","2,756","1,518","9,596",2364,UPL,North West
Upminster,"624,238","852,274","309,136","1,785,648",7464,UPM,London
Upper Halliford,"7,574","5,134","11,846","24,554",5613,UPH,South East
Upper Holloway,"186,256","240,000","168,244","594,500",1524,UHL,London
Upper Tyndrum,232,540,0,772,8838,UTY,Scotland
Upper Warlingham,"68,380","74,132","52,466","194,978",5391,UWL,South East
Upwey,"4,672","8,994",148,"13,814",5967,UPW,South West
Urmston,"31,978","31,276","18,374","81,628",2938,URM,North West
Uttoxeter,"14,644","15,614","3,134","33,392",1342,UTT,West Midlands
Valley,78,44,20,142,2440,VAL,Wales
Vauxhall,"1,327,230","2,028,016","1,631,454","4,986,700",5597,VXH,London
Virginia Water,"58,922","55,484","35,746","150,152",5676,VIR,South East
Waddon,"72,576","93,112","46,068","211,756",5392,WDO,London
Wadhurst,"14,604","31,032","26,322","71,958",5231,WAD,South East
Wainfleet,"7,314","1,908","1,218","10,440",6268,WFL,East Midlands
Wakefield Kirkgate,"38,950","48,718","27,486","115,154",8584,WKK,Yorkshire and The Humber
Wakefield Westgate,"183,452","229,458","129,458","542,368",8591,WKF,Yorkshire and The Humber
Walkden,"25,852","27,060","17,718","70,630",2612,WKD,North West
Wallasey Grove Road,"54,042","72,272","33,508","159,822",2154,WLG,North West
Wallasey Village,"62,232","57,536","40,674","160,442",2265,WLV,North West
Wallington,"167,498","240,124","118,962","526,584",5394,WLT,London
Wallyford,"17,692","14,204","4,548","36,444",9365,WAF,Scotland
Walmer,"12,938","21,560","29,894","64,392",5041,WAM,South East
Walsall,"73,058","119,772","91,774","284,604",1216,WSL,West Midlands
Walsden,"7,524","9,928","9,060","26,512",2665,WDN,Yorkshire and The Humber
Waltham Cross,"150,894","212,704","59,150","422,748",6823,WLC,East of England
Walthamstow Central,"388,616","665,764","205,336","1,259,716",6953,WHC,London
Walton (Merseyside),"30,706","54,858","65,770","151,334",2251,WAO,North West
Walton-On-Thames,"198,608","172,280","168,864","539,752",5575,WAL,South East
Wanborough,"9,318","6,664","2,012","17,994",5639,WAN,South East
Wandsworth Common,"124,902","164,386","111,932","401,220",5395,WSW,London
